gender,study_hours_per_day,attendance_percentage,assignment_score,midterm_score,final_exam_score,participation_score,internet_access,extra_classes,parent_education,sleep_hours,grade
Female,5.93,69.41,57.12,38.88,35.79,18.07,No,Yes,PhD,7.74,D
Male,2.3,85.06,71.57,42.42,31.55,93.85,No,Yes,Bachelor,6.96,D
Female,2.21,70.92,37.46,29.48,83.52,32.93,No,No,High School,7.45,D
Female,9.49,45.19,39.88,99.4,63.95,89.85,Yes,Yes,Master,5.26,C
Male,8.24,84.12,91.23,90.24,89.04,93.07,Yes,No,Master,6.44,A
Male,2.63,89.99,51.02,64.08,55.26,54.11,No,Yes,Bachelor,6.68,C
Male,4.66,94.21,51.38,78.63,79.24,47.08,Yes,No,Master,4.32,B
Female,4.2,74.32,57.1,66.74,64.2,35.03,Yes,No,High School,8.33,C
Male,8.12,85.22,97.65,85.87,72.84,82.66,Yes,No,High School,6.28,B
Female,5.59,85.12,35.91,88.36,55.91,27.69,Yes,Yes,Bachelor,8.49,C
Male,2.15,49.34,87.31,42.46,35.68,65.99,No,Yes,Bachelor,5.95,D
Female,7.65,49.85,53.91,59.48,96.32,61.04,No,Yes,High School,6.04,B
Female,4.57,44.25,89.46,72.61,88.53,32.4,No,Yes,High School,5.22,B
Male,3.37,59.19,99.42,98.38,51.83,98.47,No,Yes,PhD,7.22,B
Female,4.38,68.41,54.41,76.2,97.11,86.17,Yes,Yes,High School,6.74,B
Female,5.48,99.87,39.05,92.32,51.03,11.85,No,Yes,Master,8.56,C
Male,4.09,65.86,40.11,88.46,61.01,48.0,Yes,No,PhD,6.15,C
Female,3.18,83.57,83.11,68.65,82.86,42.31,No,Yes,PhD,7.24,B
Male,4.59,81.6,40.14,92.02,51.63,89.45,Yes,No,Bachelor,7.54,C
Male,1.17,52.27,48.23,53.31,52.72,33.8,Yes,No,Bachelor,5.6,D
Male,7.95,43.51,44.31,53.45,58.71,99.86,Yes,No,High School,8.4,C
Male,2.54,72.76,54.9,83.57,62.79,28.01,Yes,No,High School,5.9,C
Female,1.4,82.02,35.21,35.09,38.65,31.95,No,No,Bachelor,7.19,D
Female,6.88,99.9,89.97,47.94,31.22,69.95,No,Yes,Master,7.08,C
Female,7.97,61.52,90.21,70.64,94.34,24.5,Yes,Yes,Bachelor,6.11,B
Male,8.32,93.78,58.91,56.5,54.72,89.99,No,No,Bachelor,4.92,C
Female,5.44,62.92,72.85,95.55,37.12,19.89,No,No,PhD,6.96,C
Female,2.85,81.36,74.94,96.89,83.14,98.5,No,No,Bachelor,5.88,A
Male,7.64,75.9,82.45,62.69,50.65,88.72,Yes,Yes,PhD,5.9,C
Male,7.3,43.18,66.45,65.43,42.72,85.57,Yes,Yes,PhD,6.46,C
Female,3.22,44.7,65.72,79.35,97.38,46.65,Yes,No,High School,7.39,B
Male,9.13,41.25,74.19,59.29,94.44,56.23,Yes,No,PhD,7.65,B
Male,1.94,62.25,79.21,39.26,37.4,51.07,Yes,Yes,Bachelor,6.14,D
Male,9.84,84.75,54.27,81.02,92.95,98.87,Yes,Yes,Bachelor,4.6,B
Male,8.74,50.37,53.13,80.33,92.36,13.13,Yes,Yes,Bachelor,7.96,C
Female,7.19,76.35,48.88,43.37,74.41,44.35,Yes,Yes,Bachelor,7.35,C
Male,9.45,57.33,68.42,87.47,67.08,97.15,Yes,No,PhD,8.0,B
Male,7.5,87.82,55.21,71.02,45.22,43.25,No,Yes,PhD,5.58,C
Male,2.71,87.9,67.82,42.72,38.5,45.85,Yes,No,Master,8.55,D
Male,4.98,86.52,58.42,73.9,72.45,66.82,No,No,Master,5.31,B
Male,1.64,71.49,88.57,42.52,87.54,91.65,Yes,Yes,High School,5.45,B
Male,4.51,57.07,35.12,44.89,78.21,36.51,Yes,No,Bachelor,6.68,D
Male,7.67,88.57,70.05,88.6,42.66,95.28,No,Yes,High School,8.99,C
Male,4.48,51.17,70.29,94.71,50.3,35.43,Yes,No,PhD,5.01,C
Female,3.97,57.39,56.86,44.27,68.25,83.39,Yes,No,PhD,8.19,C
Male,6.36,51.04,59.47,94.6,73.75,34.83,Yes,Yes,Bachelor,4.01,C
Female,8.85,80.45,86.01,42.91,35.06,16.57,Yes,Yes,High School,5.19,D
Male,1.43,81.17,49.65,33.8,72.98,83.11,Yes,No,PhD,5.73,C
Male,4.47,79.15,91.0,29.37,81.54,50.51,No,No,PhD,7.24,C
Male,2.42,64.94,92.74,43.16,42.7,45.17,No,No,PhD,4.57,C
Male,7.26,46.01,75.54,53.89,47.24,48.69,No,No,Bachelor,4.64,D
Female,1.95,94.67,84.1,94.57,48.12,65.04,No,No,Master,4.73,B
Male,6.98,70.46,72.91,43.16,95.79,33.64,No,Yes,Master,7.31,C
Male,3.58,64.42,66.77,52.41,58.49,31.35,No,Yes,PhD,4.57,C
Female,2.79,75.33,97.67,80.06,67.14,53.51,No,Yes,Bachelor,5.99,B
Female,9.43,51.57,49.79,47.66,80.7,13.21,No,No,High School,4.78,C
Male,1.17,47.95,40.79,76.33,56.0,67.86,No,No,PhD,5.91,C
Female,4.94,64.33,50.12,57.41,37.39,84.06,Yes,Yes,Bachelor,7.57,D
Female,1.19,53.63,73.02,39.73,75.8,75.47,Yes,No,PhD,5.39,C
Female,5.35,54.66,42.96,80.05,76.71,52.24,No,No,PhD,7.09,C
Male,5.51,93.55,93.62,27.03,48.24,60.89,No,No,Bachelor,5.24,C
Male,3.89,71.85,58.77,46.93,32.47,12.36,No,No,Bachelor,7.69,D
Male,2.19,69.01,89.5,51.71,76.57,92.11,No,No,PhD,7.89,B
Female,4.39,81.37,47.45,59.37,79.24,60.23,Yes,Yes,Master,5.55,C
Male,7.05,97.09,51.92,75.99,31.82,38.48,Yes,Yes,High School,4.12,D
Female,8.04,46.73,34.15,59.46,78.52,36.42,No,No,Master,4.65,C
Male,5.78,90.01,48.04,69.57,95.72,69.37,Yes,No,Bachelor,6.45,B
Male,6.31,75.04,64.32,69.68,42.51,62.59,Yes,No,High School,5.91,C
Female,2.81,48.77,96.23,53.0,66.49,26.91,Yes,No,High School,5.73,C
Male,3.59,57.83,57.22,95.05,78.77,46.89,Yes,Yes,PhD,6.9,B
Female,2.46,68.94,74.78,96.69,46.11,70.86,No,Yes,Master,4.81,C
Female,3.24,81.47,59.94,68.64,82.61,36.79,Yes,No,Bachelor,6.28,C
Male,3.02,54.56,33.28,30.38,90.77,55.83,No,No,Bachelor,5.02,C
Female,5.68,72.09,65.25,61.83,87.02,32.94,Yes,No,High School,8.91,C
Male,6.06,81.08,34.61,38.83,48.12,16.45,Yes,No,Master,4.24,D
Male,9.5,66.92,91.86,61.24,86.3,44.94,Yes,Yes,Master,4.08,B
Female,2.76,91.78,82.71,39.14,58.93,75.89,No,No,Bachelor,6.82,C
Male,6.78,92.17,56.51,77.79,48.65,29.25,Yes,Yes,Master,4.31,C
Female,8.36,68.24,74.82,31.03,41.76,77.91,No,No,High School,8.05,D
Male,6.04,98.38,37.84,96.5,93.63,70.25,Yes,Yes,Bachelor,8.1,B
Male,3.3,44.54,79.18,39.65,59.88,55.66,No,No,PhD,6.16,C
Male,3.36,40.2,87.59,74.55,90.6,97.43,No,Yes,PhD,8.19,B
Male,1.35,62.84,87.52,93.77,41.17,89.51,No,No,High School,7.7,B
Male,3.75,76.07,49.9,43.59,83.69,60.69,No,Yes,Master,4.68,C
Female,7.7,77.75,48.46,95.07,37.7,60.2,Yes,No,Bachelor,8.3,C
Female,1.43,68.59,66.5,54.15,31.23,35.0,No,No,High School,8.37,D
Female,2.97,47.49,97.74,97.04,99.65,92.82,Yes,Yes,Bachelor,5.61,A
Female,7.36,50.23,94.44,97.85,35.15,90.63,Yes,No,Bachelor,7.87,C
Female,8.04,91.13,55.17,39.11,62.31,76.79,No,Yes,High School,8.49,C
Female,5.1,92.07,84.59,87.33,91.49,21.51,No,No,PhD,7.73,B
Male,7.28,80.43,94.49,39.51,87.36,73.33,No,Yes,Bachelor,4.47,B
Male,4.49,79.85,48.26,41.98,62.98,32.78,No,Yes,Bachelor,4.47,D
Female,2.44,75.86,88.12,31.31,72.76,26.99,Yes,Yes,Bachelor,8.91,C
Female,4.58,52.18,48.75,36.74,74.08,78.33,Yes,No,High School,6.71,C
Male,6.22,65.7,54.03,72.42,37.69,96.38,No,Yes,High School,7.22,C
Male,9.53,81.75,43.92,58.69,49.94,19.8,No,Yes,PhD,8.56,D
Male,1.62,72.24,65.5,84.32,51.07,24.76,No,No,Bachelor,4.04,C
Female,5.57,41.11,89.03,49.9,56.47,29.73,Yes,Yes,High School,6.13,C
Female,3.96,97.21,66.96,97.65,49.17,96.66,Yes,Yes,Bachelor,6.83,B
Female,5.57,90.69,38.64,28.74,47.6,72.68,No,Yes,PhD,4.01,D
Male,1.22,55.63,47.62,29.72,54.83,71.05,Yes,Yes,Master,7.12,D
Male,3.82,76.99,69.4,77.6,56.55,55.45,Yes,No,Master,8.25,C
Female,8.38,95.39,70.82,91.57,64.11,58.38,No,Yes,Master,4.27,B
Female,5.99,45.76,70.38,84.66,42.15,36.12,Yes,No,PhD,8.02,C
Male,5.06,70.18,35.39,61.74,85.18,23.91,Yes,Yes,High School,8.89,C
Male,3.57,67.37,82.76,45.22,90.25,80.22,No,Yes,Bachelor,8.6,B
Male,3.68,64.61,93.66,26.01,47.37,52.36,Yes,No,High School,6.69,D
Male,4.45,90.14,65.74,63.21,38.63,33.04,No,Yes,Master,8.3,D
Female,8.52,62.84,80.32,60.67,80.56,66.95,No,No,Master,7.85,B
Male,9.7,43.82,93.98,50.82,94.7,28.85,No,No,Bachelor,8.09,B
Male,4.95,43.95,74.98,68.36,32.46,53.99,No,No,Bachelor,5.99,D
Male,4.54,42.56,77.2,79.66,31.01,27.12,Yes,No,PhD,6.38,D
Female,8.62,64.55,80.5,77.57,42.84,78.37,No,Yes,Bachelor,5.2,C
Female,4.84,83.1,48.24,44.74,77.94,38.87,No,Yes,High School,4.26,C
Male,5.97,52.22,70.79,68.9,97.53,49.75,Yes,Yes,High School,6.99,B
Male,3.08,78.79,88.95,36.16,82.53,77.94,Yes,No,Bachelor,5.55,B
Male,7.69,81.23,50.73,34.12,70.11,69.36,Yes,Yes,High School,6.51,C
Female,5.79,55.31,92.8,83.94,79.04,45.97,No,No,High School,8.81,B
Female,8.28,76.03,73.43,77.03,46.15,16.39,No,Yes,Master,4.32,C
Female,8.03,81.09,59.62,82.59,78.2,92.94,Yes,Yes,Master,8.37,B
Male,2.94,68.0,73.62,36.43,52.5,10.71,Yes,No,Bachelor,4.43,D
Female,7.44,60.2,58.13,93.6,45.57,76.11,Yes,Yes,Bachelor,7.27,C
Male,8.2,77.15,88.66,34.98,46.56,95.09,No,No,Bachelor,5.72,C
Male,4.11,98.67,63.76,90.25,76.75,37.6,Yes,No,Master,4.5,B
Male,2.55,65.61,93.08,51.43,83.71,16.79,No,No,High School,7.78,C
Female,1.02,63.5,65.69,32.91,70.73,32.46,No,Yes,PhD,7.49,C
Male,5.06,67.86,76.23,46.51,34.47,38.21,Yes,No,High School,7.2,D
Female,4.17,44.57,99.84,38.61,32.66,50.62,No,No,PhD,8.82,D
Female,5.99,73.19,40.29,61.8,45.2,57.27,Yes,No,Master,4.12,D
Male,2.69,59.72,81.57,96.23,50.05,75.28,No,Yes,PhD,6.17,B
Male,8.74,47.29,39.72,49.59,58.34,91.08,No,Yes,Bachelor,6.81,D
Female,3.32,67.98,88.72,70.91,35.32,51.83,Yes,No,Bachelor,5.79,C
Male,3.04,40.2,71.75,91.88,80.76,77.17,Yes,Yes,Bachelor,7.35,B
Female,5.33,64.11,95.67,72.26,79.8,21.45,Yes,Yes,Bachelor,8.5,B
Male,5.49,46.34,90.62,52.16,54.27,39.59,Yes,No,High School,7.48,C
Female,2.94,41.46,35.24,99.31,69.41,20.63,No,No,Bachelor,6.85,C
Female,3.45,89.47,39.61,39.06,37.06,72.26,No,Yes,PhD,7.69,D
Female,2.53,94.97,72.08,64.24,59.07,91.69,Yes,No,Master,4.55,C
Female,7.47,52.46,66.28,84.75,90.03,90.02,Yes,Yes,Bachelor,7.15,B
Male,7.93,72.36,41.8,25.05,76.24,39.38,No,Yes,High School,6.04,D
Male,5.16,56.68,39.06,77.65,37.28,31.08,No,No,Bachelor,5.59,D
Female,7.43,69.61,69.48,44.99,89.33,34.66,No,No,Bachelor,6.54,C
Female,7.62,66.2,33.42,37.73,77.65,35.86,No,No,High School,8.02,D
Male,2.24,56.14,91.16,45.56,61.71,17.4,Yes,No,Master,6.06,C
Male,9.7,82.02,86.5,97.51,78.45,22.0,Yes,Yes,High School,7.51,B
Male,8.39,47.59,84.98,91.9,42.1,29.3,Yes,Yes,PhD,6.94,C
Male,2.84,43.18,31.12,41.03,68.53,10.74,No,Yes,High School,8.58,D
Male,2.68,86.06,33.33,33.78,73.25,14.25,Yes,Yes,PhD,6.22,D
Male,2.13,79.96,68.49,52.31,94.94,72.87,Yes,No,Bachelor,8.1,B
Female,2.25,69.91,99.61,69.43,34.68,65.74,Yes,No,High School,8.21,C
Male,7.73,68.07,53.96,90.04,56.23,95.09,No,No,Bachelor,6.32,C
Male,5.23,69.84,54.11,97.46,95.58,46.16,Yes,Yes,High School,6.44,B
Female,8.05,66.22,39.4,81.34,45.21,49.99,No,No,PhD,5.67,C
Male,7.72,63.57,77.2,69.93,86.92,16.1,No,Yes,High School,6.48,B
Male,6.44,69.98,75.27,35.67,30.11,23.7,Yes,No,PhD,5.25,D
Male,7.18,71.71,37.09,30.55,31.81,72.24,No,No,Bachelor,8.29,D
Male,1.17,81.51,62.72,69.7,52.93,31.15,No,Yes,High School,5.25,C
Male,3.81,82.67,76.7,65.43,83.8,79.59,Yes,No,High School,5.29,B
Female,6.74,62.66,64.55,88.46,37.29,73.51,Yes,Yes,Bachelor,8.48,C
Male,1.08,64.81,77.21,49.2,56.8,77.25,No,Yes,High School,6.66,C
Female,1.3,62.42,87.14,27.98,39.2,72.15,No,No,PhD,4.53,D
Female,8.67,72.19,78.01,56.78,45.65,73.69,Yes,No,High School,5.73,C
Male,7.16,67.2,73.13,97.69,65.21,59.21,Yes,No,Bachelor,7.53,B
Female,3.39,93.38,89.75,84.67,52.34,71.04,No,Yes,High School,6.03,B
Male,7.19,81.78,93.04,27.53,44.83,57.36,No,No,Master,6.12,C
Female,8.13,93.92,57.22,90.6,57.54,28.55,No,Yes,High School,6.49,C
Female,3.76,82.55,42.13,60.38,79.07,29.58,No,No,High School,5.11,C
Male,1.32,98.26,87.25,52.36,38.36,46.48,Yes,Yes,High School,6.12,C
Male,9.4,78.14,44.96,51.01,63.57,11.25,No,No,Bachelor,5.08,D
Male,4.11,97.81,95.03,69.64,49.23,90.04,No,No,Bachelor,5.75,B
Male,1.96,49.49,31.6,64.79,56.5,34.14,No,No,PhD,6.66,D
Male,5.43,43.15,94.49,74.25,87.51,14.64,No,Yes,Master,7.47,B
Female,7.92,74.75,71.24,68.02,95.08,48.2,Yes,Yes,Bachelor,7.17,B
Female,2.99,99.01,84.23,35.8,47.01,83.4,Yes,Yes,Master,6.88,C
Female,3.43,65.06,57.89,44.29,74.1,45.76,Yes,Yes,High School,6.98,C
Female,3.18,52.72,99.42,88.08,77.37,33.64,Yes,No,High School,6.55,B
Female,9.93,71.29,45.93,74.74,88.97,59.04,No,Yes,High School,7.07,B
Female,2.78,78.93,48.5,58.63,92.93,61.69,Yes,No,High School,5.88,B
Female,6.18,58.91,33.6,38.7,62.76,78.33,Yes,No,Master,8.5,D
Male,9.33,82.89,95.83,25.58,98.78,81.98,No,No,PhD,6.95,B
Male,2.32,98.51,61.92,48.39,97.96,73.56,No,Yes,Master,8.68,B
Female,9.74,93.82,77.24,29.11,65.45,10.41,No,Yes,High School,6.02,C
Female,9.53,57.5,78.12,61.17,67.94,10.19,No,No,PhD,5.97,C
Male,8.96,59.6,91.22,86.64,76.74,97.97,No,No,PhD,8.83,B
Male,2.93,62.29,76.54,46.4,56.17,33.78,Yes,No,High School,7.65,C
Male,6.71,63.67,69.34,88.58,76.34,35.41,Yes,Yes,PhD,6.59,B
Male,7.85,46.02,79.72,77.84,66.0,75.9,Yes,No,Bachelor,7.59,B
Female,9.87,85.72,82.57,34.39,32.48,62.34,No,No,High School,5.98,D
Male,2.62,61.92,43.01,73.34,89.69,51.72,No,Yes,PhD,7.79,C
Female,7.89,92.79,37.68,36.38,95.83,20.48,Yes,No,Master,5.05,C
Female,4.05,95.62,35.24,74.11,31.84,17.33,Yes,No,PhD,8.75,D
Female,2.58,41.47,56.18,35.7,85.25,73.33,No,No,Master,6.3,C
Male,4.79,99.31,64.86,54.44,57.01,21.21,No,No,Bachelor,4.46,C
Male,8.14,82.6,73.1,67.49,70.99,49.22,Yes,Yes,High School,8.23,C
Female,5.18,71.22,97.06,28.78,65.0,76.25,No,No,PhD,8.47,C
Female,5.84,63.37,53.16,36.5,68.59,93.09,Yes,Yes,Bachelor,7.65,C
Female,9.96,71.11,83.26,49.03,64.66,88.62,Yes,No,Master,7.15,C
Male,4.59,59.48,67.2,59.67,89.74,87.76,Yes,No,Bachelor,8.64,B
Female,6.54,77.36,45.41,89.39,77.85,42.26,Yes,Yes,Bachelor,7.11,B
Male,4.29,45.58,73.07,39.05,58.88,93.45,Yes,Yes,Master,7.96,C
Female,4.54,77.27,97.7,51.06,78.2,71.53,No,No,High School,6.36,B
Female,7.26,56.52,38.7,60.68,97.55,89.78,Yes,No,Bachelor,7.64,B
Female,9.44,41.06,65.51,47.18,35.62,18.0,Yes,Yes,Bachelor,8.99,D
Male,5.88,73.16,33.61,71.93,57.17,13.56,No,No,Master,5.91,D
Male,7.92,74.71,52.49,44.25,90.93,48.67,No,No,Master,7.6,C
Female,1.8,65.59,73.44,82.93,81.73,84.52,No,No,Bachelor,4.74,B
Male,2.9,44.34,88.87,62.89,95.45,46.77,No,Yes,PhD,7.18,B
Female,5.52,93.6,81.12,31.47,32.79,89.62,Yes,Yes,Master,5.61,D
Male,1.18,76.69,62.4,72.02,90.39,31.13,Yes,Yes,High School,8.33,B
Male,3.28,46.94,93.65,67.69,85.43,13.54,Yes,Yes,PhD,5.8,B
Male,5.66,70.66,51.19,50.39,87.05,78.52,Yes,No,PhD,6.23,C
Female,1.13,69.84,82.78,25.84,71.81,66.36,No,Yes,Bachelor,8.9,C
Male,3.38,43.62,63.18,40.05,33.63,49.61,No,No,High School,5.08,D
Male,5.63,76.41,92.9,55.43,67.74,86.07,No,No,PhD,6.82,B
Female,6.16,88.5,85.82,39.99,58.54,84.18,Yes,No,Master,8.32,C
Female,9.33,84.94,93.1,68.31,66.89,39.21,No,Yes,High School,5.57,B
Female,6.81,52.18,45.0,78.42,81.82,85.42,Yes,Yes,High School,4.08,B
Female,4.73,91.74,76.77,89.2,71.72,41.06,Yes,No,Bachelor,8.48,B
Male,9.37,60.55,81.69,73.52,50.48,65.97,No,Yes,PhD,7.1,C
Male,8.06,96.79,81.97,76.68,71.97,27.32,No,No,Master,5.15,B
Male,2.8,44.3,65.28,70.63,35.82,33.78,Yes,No,PhD,5.38,D
Male,2.18,69.17,30.79,98.91,30.38,50.31,No,Yes,PhD,8.0,D
Male,7.08,75.83,48.3,44.58,58.11,38.31,Yes,No,Master,7.21,D
Female,6.04,54.86,52.63,44.97,83.0,21.62,No,Yes,PhD,7.66,C
Male,8.11,86.28,89.64,34.48,87.58,53.41,Yes,No,High School,6.89,B
Male,7.65,77.61,88.86,61.43,68.49,56.02,Yes,Yes,Bachelor,7.95,B
Male,6.63,41.09,37.33,32.21,90.76,24.28,No,No,Bachelor,8.11,D
Female,9.88,76.5,96.49,45.26,38.81,25.69,Yes,No,High School,5.93,D
Female,5.8,69.49,42.77,61.2,97.49,12.64,No,Yes,PhD,8.5,C
Male,2.02,51.76,59.01,96.82,94.52,12.73,No,Yes,PhD,6.53,B
Female,8.45,99.74,45.06,97.29,71.95,42.28,No,No,Bachelor,4.8,B
Female,3.27,93.83,90.22,80.78,34.11,23.2,No,Yes,Bachelor,5.09,C
Female,8.0,57.55,82.46,54.19,61.79,92.72,No,No,Master,7.67,C
Female,9.61,72.46,54.75,89.89,42.55,27.95,No,No,Master,5.89,C
Female,7.27,58.99,77.73,90.66,73.99,15.94,No,No,Master,5.31,B
Female,6.36,86.53,42.91,93.26,43.3,46.38,Yes,No,Master,7.02,C
Female,5.14,95.82,56.76,73.0,63.73,27.32,Yes,Yes,Bachelor,7.91,C
Male,4.28,61.53,56.4,40.13,44.39,15.56,Yes,Yes,PhD,4.55,D
Male,4.18,88.34,46.66,31.83,42.73,77.75,No,Yes,High School,6.25,D
Female,6.73,69.9,91.34,93.61,47.35,60.14,Yes,No,Bachelor,7.86,B
Male,7.76,63.79,77.52,29.17,32.04,15.13,No,No,High School,8.52,D
Male,7.11,96.31,49.6,47.19,80.13,52.12,No,No,High School,4.07,C
Female,2.79,70.62,46.95,61.52,51.47,13.49,No,No,PhD,7.28,D
Male,5.45,68.04,31.26,26.65,78.87,41.89,Yes,No,PhD,6.99,D
Female,8.12,80.35,54.26,93.02,75.74,42.7,Yes,Yes,High School,6.59,B
Female,5.28,55.67,66.87,46.53,34.63,84.07,No,No,Bachelor,4.8,D
Female,5.83,59.49,49.44,27.14,51.84,76.18,Yes,No,High School,7.71,D
Male,7.94,95.92,79.03,99.52,69.68,90.72,Yes,No,PhD,5.96,B
Male,6.95,80.71,58.82,48.35,94.29,22.65,Yes,No,Master,5.17,C
Male,4.68,89.6,52.14,90.76,58.09,58.04,Yes,No,PhD,8.25,C
Male,9.06,56.27,95.73,59.01,65.34,11.82,No,No,PhD,5.54,C
Female,2.46,72.63,48.4,74.73,82.51,84.3,Yes,No,Bachelor,4.99,B
Female,9.96,98.28,57.88,43.08,86.23,42.99,No,Yes,High School,5.56,C
Male,2.07,59.12,56.76,62.72,94.63,16.24,Yes,Yes,High School,4.91,C
Female,1.13,49.63,46.88,44.32,64.8,39.22,Yes,Yes,High School,7.89,D
Female,9.01,70.65,45.22,96.33,43.57,35.82,Yes,No,Master,4.91,C
Male,3.2,63.27,51.17,29.57,83.51,78.94,No,No,Master,7.58,C
Female,7.57,49.57,90.5,45.6,38.79,21.4,Yes,Yes,Master,4.81,D
Male,8.3,93.31,83.7,91.98,59.28,60.02,No,Yes,Master,5.13,B
Female,8.73,99.44,77.67,61.0,73.97,81.45,Yes,No,Master,5.71,B
Male,9.92,74.11,62.0,70.01,78.43,76.56,Yes,Yes,PhD,8.75,B
Female,3.65,86.48,65.54,73.88,81.31,94.23,Yes,No,Bachelor,8.57,B
Female,7.39,91.54,48.7,30.32,43.55,10.06,No,No,Bachelor,4.43,D
Male,2.04,82.06,35.2,26.33,98.72,41.84,No,No,PhD,5.68,C
Male,4.66,42.65,53.17,95.34,42.49,43.26,Yes,No,Master,5.73,C
Male,8.63,49.46,64.69,45.36,36.73,13.0,Yes,Yes,PhD,5.06,D
Male,4.31,44.26,34.01,53.52,76.48,83.55,No,No,PhD,6.18,C
Female,6.32,40.59,36.18,76.16,93.7,72.0,No,No,PhD,7.74,B
Female,5.53,58.36,48.41,42.72,69.16,57.53,No,Yes,High School,4.5,C
Male,6.81,63.54,55.7,79.98,71.68,46.45,Yes,No,Bachelor,7.36,C
Female,9.76,54.46,57.53,59.37,67.69,90.59,No,Yes,PhD,5.3,C
Male,1.5,43.88,38.25,89.25,32.99,33.8,No,No,Master,7.21,D
Male,6.17,71.79,45.81,45.89,77.69,40.11,No,No,PhD,7.41,C
Female,8.77,56.4,48.32,40.29,55.07,95.74,Yes,No,Master,7.64,D
Female,5.33,87.76,34.73,87.38,95.5,15.82,Yes,No,Master,8.31,B
Male,1.71,40.48,52.83,49.47,43.08,80.26,No,Yes,High School,8.5,D
Male,6.04,90.55,35.06,55.89,51.15,74.63,No,No,Bachelor,7.8,C
Male,3.99,97.29,79.24,84.53,65.34,91.17,No,No,PhD,6.41,B
Female,2.39,82.97,57.02,72.67,63.41,18.15,No,No,Bachelor,4.22,C
Female,8.64,84.02,52.87,58.13,58.02,97.34,No,No,Master,8.69,C
Female,5.69,96.01,38.86,43.74,52.01,12.6,No,No,PhD,7.01,D
Female,9.4,52.54,45.86,82.32,40.3,40.39,No,Yes,PhD,6.67,D
Male,8.25,99.67,46.29,38.53,87.46,17.63,Yes,Yes,PhD,5.2,C
Male,7.24,86.41,98.96,94.62,61.41,14.61,Yes,No,Bachelor,7.42,B
Male,1.05,83.59,88.47,36.27,70.11,96.82,No,No,PhD,8.97,C
Male,4.85,61.67,31.07,85.37,68.26,74.77,Yes,No,High School,5.65,C
Male,2.78,72.75,73.18,56.82,70.28,55.51,Yes,No,High School,8.0,C
Male,9.2,79.24,47.91,38.95,79.34,19.74,No,Yes,Bachelor,5.46,C
Female,2.57,77.22,37.31,55.18,74.06,57.34,Yes,No,PhD,6.44,C
Female,3.57,82.3,79.39,41.62,49.17,38.8,Yes,No,High School,5.07,C
Male,5.65,44.94,39.21,35.2,68.76,34.44,No,Yes,PhD,6.56,D
Male,3.37,61.34,61.06,42.94,47.12,65.63,Yes,Yes,Master,6.3,D
Female,2.89,66.04,74.25,90.05,71.22,81.18,No,No,Master,4.19,B
Female,6.39,55.64,68.81,32.95,60.24,49.89,No,Yes,PhD,5.91,D
Female,1.8,50.36,98.43,97.94,32.76,54.4,Yes,Yes,PhD,4.31,C
Female,1.52,48.34,85.0,25.37,81.38,68.63,No,Yes,PhD,6.25,C
Male,4.35,61.98,84.19,74.37,49.23,21.22,Yes,No,Master,8.9,C
Male,7.49,69.61,54.89,89.24,94.41,84.57,Yes,Yes,High School,5.46,B
Male,5.99,43.78,30.59,95.05,49.64,85.32,Yes,No,Master,6.58,C
Male,4.81,96.79,81.41,35.8,99.76,58.69,Yes,Yes,PhD,4.65,B
Male,6.09,85.91,99.98,77.37,62.41,26.88,No,No,Bachelor,4.77,B
Female,4.29,83.85,58.41,33.05,31.85,55.07,No,No,High School,5.78,D
Male,9.43,50.37,98.99,51.45,35.34,19.53,Yes,No,Bachelor,6.45,D
Female,1.49,76.23,39.92,79.89,35.75,78.7,No,Yes,Master,7.51,C
Male,7.06,71.78,50.76,50.95,33.94,38.0,No,Yes,High School,6.28,D
Male,9.02,98.95,41.95,48.5,48.75,38.0,No,Yes,High School,4.12,D
Male,8.23,84.86,63.26,33.7,52.72,95.05,No,No,Bachelor,5.35,C
Male,2.66,74.55,85.79,29.98,37.79,47.97,No,No,Bachelor,4.12,D
Male,3.66,91.05,53.85,33.65,60.67,81.06,No,No,Bachelor,8.59,C
Female,7.45,49.31,93.44,90.66,55.57,67.34,Yes,Yes,Bachelor,4.15,B
Female,1.76,40.91,68.14,25.84,74.54,38.46,Yes,No,High School,4.25,D
Female,8.31,81.41,62.58,76.96,43.71,21.14,No,No,Master,5.49,C
Male,7.47,45.9,85.09,82.65,93.98,81.8,Yes,No,Bachelor,7.16,B
Male,7.57,46.93,37.1,67.59,66.12,78.63,No,No,PhD,5.79,C
Female,1.9,84.68,84.16,79.81,73.66,25.22,No,No,High School,4.31,B
Male,7.46,56.23,47.01,73.92,32.77,32.42,No,No,Bachelor,8.18,D
Male,7.12,77.72,49.66,59.17,69.14,78.96,Yes,No,PhD,7.5,C
Female,8.48,95.04,71.96,53.7,55.77,98.53,Yes,No,Master,5.98,C
Male,1.37,58.99,93.14,95.6,94.69,85.93,Yes,No,Master,7.38,A
Female,1.21,53.03,70.49,97.9,92.0,71.57,Yes,No,Bachelor,5.37,B
Male,4.36,46.39,75.43,73.85,74.64,92.39,Yes,Yes,PhD,6.64,B
Female,2.34,47.83,84.36,39.8,83.75,35.67,No,No,Bachelor,8.4,C
Male,6.03,43.73,48.15,58.59,75.12,10.87,Yes,Yes,High School,4.54,C
Male,9.26,45.26,87.91,62.24,31.19,38.89,Yes,No,High School,8.23,D
